90,88,1832,25,Du6DN,1k2r3/1p6/p7/6p1/5p1n/PB1P1P2/1P1K4/6R1 w - - 2 40,b3d5 e8e5 d3d4 e5d5,crushing endgame short,https://lichess.org/avgpXc0M#79,
92,100,1468,48,NBGzv,r2qk2r/ppp2p1p/2nb4/1B2nP2/6p1/6P1/PPPP3P/RNBQK2R w KQkq - 1 11,e1g1 d6c5 d2d4 c5d4,crushing opening short,https://lichess.org/maEncd7t#21,Bird_Opening
76,100,835,542,7h6L2,r1b1k2r/5ppp/1qp1pb2/p2p4/8/1BPQB3/PP2KPPP/R3R3 b kq - 1 16,c8a6 e3b6 a6d3 e2d3,advantage middlegame short,https://lichess.org/ts1TzfH2/black#32,Sicilian_Defense
75,93,1945,6217,F6123,r4rk1/1bp2p1p/pp2p1p1/8/1P1PBq2/P1n2N1P/2P1QPP1/R3R1K1 w - - 4 22,e2e3 f4e3 e1e3 c3e4,advantage middlegame short,https://lichess.org/JKWmeqZE#43,
84,90,2542,278,FyqFm,r5kr/ppp3pp/4b3/3qP1BQ/2nP4/P1P2R2/P5PP/R5K1 b - - 6 17,a8f8 f3f8 g8f8 a1f1 e6f7 h5g4,attraction crushing defensiveMove kingsideAttack long middlegame,https://lichess.org/tF9ZGUMe/black#34,Kings_Gambit
76,96,1210,5483,MWUAe,r1bqk2r/1p2b1pp/p3pn2/2p5/P1Bn1P2/2N2N2/1PPP2PP/R1BQK2R w KQkq - 2 10,e1g1 d4f3 d1f3 d8d4 g1h1 d4c4,advantage clearance fork long opening,https://lichess.org/yGY0jWgW#19,Sicilian_Defense
74,93,1688,1246,DxfnV,2r2rk1/pp3ppp/4pn2/3q4/3P4/1P2QN2/P4PPP/2R1R1K1 b - - 2 17,f6e4 c1c8 f8c8 e3e4 d5e4 e1e4,advantage long middlegame,https://lichess.org/v0Vjk1gR/black#34,Caro-Kann_Defense
83,51,2606,57,FLGgW,2kr3r/ppp2p1p/2n2n1B/2q1p3/2b1P3/P1PP1N1P/5PP1/R2QKB1R w KQ - 0 15,h6g7 f6e4 d1c2 d8d3,advantage middlegame short,https://lichess.org/kxZnDnNy#29,Zukertort_Opening
94,71,636,381,MfscP,1k6/3R4/1K6/8/Pp1p4/1Pb2r2/5P1P/8 b - - 0 51,d4d3 d7d8,endgame mate mateIn1 oneMove,https://lichess.org/cKjGcRn6/black#102,
74,94,1701,4266,E17XX,r1bqk1nr/pppnbppp/4p3/6B1/3PN3/8/PPP2PPP/R2QKBNR w KQkq - 3 6,d1g4 f7f5 g4g3 f5e4,crushing fork master opening short,https://lichess.org/PMubobk5#11,French_Defense
115,70,1502,16,FOrVG,8/6p1/6k1/1pp4R/3B4/3r4/1P3KP1/8 w - - 1 45,h5h4 d3d4 h4d4 c5d4,crushing endgame short,https://lichess.org/zY1vAGTu#89,
111,63,1300,45,4FpSt,8/2p5/2Q5/2P1bp2/P7/4k3/1r4K1/8 w - - 3 44,g2h3 b2h2,endgame mate mateIn1 oneMove,https://lichess.org/xiE4w2HV#87,
117,80,2134,12,FRjjj,r3r3/1pp3k1/2n4B/3q1p2/p2P2b1/2P1Q1NP/PnB5/R5K1 b - - 3 25,g7h7 e3g5 e8g8 g5h4 g8g6 h6g5 h7g8 h3g4 c6d4 c3d4,advantage clearance discoveredAttack exposedKing middlegame veryLong,https://lichess.org/GSyhRAuv/black#50,
96,77,1702,30,FRAQq,r6k/ppp2Qpp/2nb1pr1/6Bq/8/P1P2N1P/1P3PP1/3RR1K1 b - - 3 20,g6g5 f3g5 h5d1 e1d1,crushing middlegame short,https://lichess.org/RB93bGXa/black#40,
76,86,1260,93,Fysx6,3r4/p3R2p/kpq3p1/1Pp2r2/2P2B2/P4nP1/5n2/2R2K2 b - - 0 37,a6a5 e7a7,master mate mateIn1 middlegame oneMove,https://lichess.org/nx28I0wJ/black#74,
104,94,2347,55,DybS3,2r5/p7/4p2R/P2pPpp1/1prP2k1/2P3P1/3BKP2/8 b - - 1 33,b4c3 d2e1 f5f4 f2f3 g4f5 g3g4,endgame long mate mateIn3,https://lichess.org/560Em7Uf/black#66,
75,93,1634,2612,6PEFz,rn4k1/6pp/rpn1p3/1Q1pPp2/p2P1P1q/P3BR2/1P4PP/2R3KN w - - 0 22,c1c6 h4e1 b5f1 e1f1 f3f1 b8c6,advantage kingsideAttack long middlegame,https://lichess.org/XCoH8lBo#43,
76,82,1573,135,I1c9H,4r3/pp2q1kp/5Rp1/3Q4/3p4/3P3P/PPP3P1/6K1 w - - 1 30,d5d4 e7f6 d4f6 g7f6,crushing endgame short,https://lichess.org/AxmTtn4G#59,
75,94,1501,2312,JWAsY,k2r1Qnr/1p4pp/p3p1q1/1N4N1/3pP3/8/PP4PP/2R2RK1 b - - 0 18,g6g5 c1c8 d8c8 f8c8,mate mateIn2 middlegame queensideAttack short xRayAttack,https://lichess.org/VxstVbVP/black#36,Sicilian_Defense
74,92,1988,408,Nce6s,6k1/pp1q1rb1/2pp4/6RN/8/1Q5P/6P1/7K b - - 4 35,d6d5 g5g7 f7g7 h5f6 g8f8 f6d7,crushing endgame exposedKing fork long sacrifice,https://lichess.org/KeeHKLcc/black#70,
76,91,2482,1900,4YSdd,4k2r/3n1pp1/r1p2q1p/3ppP2/1b6/P1N2N2/3Q1PPP/R3R1K1 b k - 0 18,a6a3 c3d5 b4d2 d5f6 g7f6 a1a3 d2e1 a3a8 e8e7 a8h8,advantage middlegame sacrifice skewer veryLong,https://lichess.org/D28ozN1k/black#36,Slav_Defense
89,100,1259,118,Fms57,8/p2Q1p2/1p6/k2pq3/P4R2/6P1/2r2P1P/5K2 b - - 0 31,c2c5 d7a7,endgame mate mateIn1 oneMove,https://lichess.org/VajQ7LJG/black#62,
190,100,1329,43,MwRCU,5r2/2p3kp/2B3b1/p4n2/Pp1p1P1q/1P1P3P/1BP3Q1/R2K4 w - - 1 30,d1c1 h4e1,mate mateIn1 middlegame oneMove,https://lichess.org/kCim9lCA#59,
77,91,2304,620,GCBtU,2kr3r/pp2bppp/4p3/2p1Q3/5P2/1PN5/P1P3PP/qN3RK1 b - - 5 15,b7b6 b1a3 e7f6 f1a1 f6e5 f4e5,advantage discoveredAttack long middlegame quietMove,https://lichess.org/XfNvMAX7/black#30,Sicilian_Defense
75,94,1323,3686,NfDco,r2qk1nr/6pp/p1n1p3/1p3p2/3P2b1/RN2PN2/4BPPP/3Q1RK1 w kq - 0 14,e2b5 a6b5 a3a8 d8a8,advantage hangingPiece middlegame short,https://lichess.org/GVCRDW5b#27,Queens_Gambit
77,71,1566,54,69D4b,5rk1/pQ2nr1p/3p2p1/8/2BP4/2P1q3/PP1N2PP/5R1K w - - 1 24,d2e4 d6d5 c4d5 e7d5,crushing fork middlegame short,https://lichess.org/sEoaKex4#47,
74,90,2246,1798,Dz0T0,6k1/5pp1/pp2p2p/4P3/2PQN3/1P1n3P/P3q1PK/8 w - - 6 30,a2a3 d3e1 e4f2 e2f1 d4e4 f1f2,crushing endgame long,https://lichess.org/bfnjU8wb#59,
76,71,1383,175,JSFGn,r6k/r1p1n1p1/3p1p1p/4p3/qbQ1P2B/P2R1N2/1P3PPP/1K5R w - - 0 23,c4b4 a4b4 a3b4 a7a1 b1c2 a1h1,clearance crushing long middlegame skewer,https://lichess.org/I3ANOobX#45,
129,87,1269,31,FXRuE,r3kb1r/1pp1pp1p/pqn2p2/7b/3P4/2BQ1N1P/PPP2PP1/R3KB1R b KQkq - 2 11,e8c8 d3f5 c8b8 f5h5,crushing fork master opening short,https://lichess.org/urkonJfP/black#22,Scandinavian_Defense
76,86,2329,87,7eh2E,r4rk1/p4p2/2n1b2p/q2pNpbP/Npp2P2/1P2Q1P1/P1P5/2K1RBR1 b - - 0 21,d5d4 e5c6 a5a4 b3a4 d4e3 f4g5,advantage hangingPiece long middlegame,https://lichess.org/0sEJhcDX/black#42,
87,94,2752,120,FKskI,8/6Rp/2k5/6PP/1pp5/2Nb4/1n1K4/8 w - - 0 44,c3d1 b2d1 g5g6 d1f2,crushing defensiveMove endgame master short,https://lichess.org/QcYsXpli#87,
74,93,1431,5612,6XkoE,r3rk2/2pq1ppp/p1n3n1/1p6/3pB1Nb/2P2Q1P/PP3PP1/R1B1R1K1 w - - 0 22,e4c6 e8e1 g1h2 d7d6,crushing hangingPiece kingsideAttack middlegame short,https://lichess.org/uxwoCXUi#43,
105,89,2648,173,4XOaS,8/1p5k/pP4pp/1n3p2/1P6/3rpPPP/P3R1B1/7K w - - 1 39,f3f4 b5d4 e2e1 d4c2,crushing endgame master short,https://lichess.org/YqkRGzZH#77,
76,99,1078,3195,F7DFB,2kr3r/1pq2p1p/p1b1p2p/P2pP3/1b1P4/2N2N2/1P1Q1PPP/R1R3K1 w - - 3 16,a1a4 c6a4 c3a4 b4d2 c1c7 c8c7,crushing long middlegame,https://lichess.org/MruLpdiq#31,Sicilian_Defense
80,91,2108,1804,JFjYA,5rk1/5pbp/3Qp1p1/p2n4/q1p5/2P4P/1B3PP1/1R2R1K1 b - - 1 31,g7c3 b2c3 d5c3 b1b8,advantage clearance middlegame short,https://lichess.org/qNLiNkzx/black#62,
124,-20,1703,59,MaZ3Y,1r4k1/1r3ppp/4p3/1B1bN3/1P6/2P2P1P/3b2P1/R3RK2 w - - 3 30,e1e2 d2c3 a1c1 c3e5,advantage middlegame short,https://lichess.org/8cmoJlRx#59,
158,69,1985,22,6pPcB,7Q/8/8/1K2p3/P2p2R1/1P3k1P/2r1q3/8 w - - 3 47,b5b4 e2d2 b4b5 d2d3 b5a5 d3f5 b3b4 c2c8,crushing endgame veryLong,https://lichess.org/vKnQy27j#93,
76,63,1426,128,7rUJW,3n2k1/pp1K3p/2qN2pb/1NP1p2P/Q1P5/8/PP5p/7R w - - 11 32,d7d8 h6g5,endgame mate mateIn1 oneMove,https://lichess.org/T7XVL7n5#63,
104,66,1809,23,6es3f,r2r2k1/pp3ppp/1b6/4n3/3Nq3/4BRP1/PP2NK1P/2RQ4 w - - 2 21,f3f4 e5d3 d1d3 e4d3,crushing fork middlegame short,https://lichess.org/WCIbepI8#41,
82,89,2292,186,NAsK0,r5rk/pp4qp/2p2b2/3nRb2/5B2/5P2/PP2R1BQ/3N2K1 b - - 7 32,f6e5 f4e5 d5f6 h2f4 g8f8 f4f5,advantage long middlegame pin,https://lichess.org/xPINE5yo/black#64,
86,89,2368,575,JkIoe,2rq1rk1/p5pp/4pp2/3pN3/2PQn3/P3P3/5PPP/R2R2K1 w - - 0 20,c4d5 e4c3 e5c6 c8c6 d5c6 c3e2 g1h1 e2d4,advantage fork middlegame sacrifice veryLong,https://lichess.org/JwuYEZwB#39,
235,100,1763,11,JkQ5M,1r3rk1/6b1/2qNp2p/2Bn1ppQ/1P6/8/5PPP/3RR1K1 w - - 2 32,e1e6 d5f4 h5f3 c6f3 g2f3 f4e6,crushing fork long middlegame,https://lichess.org/6uxxFxP6#63,
86,80,600,81,FVlgc,2r3k1/5ppp/4pq2/2Q5/2p5/P3P1P1/5PKP/1R3R2 b - - 0 28,c8c5 b1b8 c5c8 b8c8 f6d8 c8d8,backRankMate endgame long mate mateIn3 queenRookEndgame,https://lichess.org/DWOvDWbA/black#56,
82,74,1650,50,7txcM,r1b3k1/1p1nRrpp/p7/1nPB4/5P2/8/6PP/R6K b - - 1 24,b5c7 d5f7 g8f8 a1e1,advantage defensiveMove middlegame short,https://lichess.org/maiNgpxw/black#48,
77,93,1720,1692,FNyZz,r2qr2k/p4pp1/1npb3p/1p4B1/3PN1Q1/2P4P/P4PP1/R3R1K1 b - - 5 20,d8d7 g4d7 b6d7 e4d6 e8e1 a1e1,advantage capturingDefender long master middlegame,https://lichess.org/THWtzPmu/black#40,
77,63,2376,101,MW7a4,2r2rk1/1p1nbppp/p1npp2B/q7/N3P3/1B4Q1/PP3PPP/2RR2K1 b - - 11 16,a5e5 f2f4 e5f6 h6g5 f6g6 c1c6 c8c6 g5e7 g6g3 h2g3,advantage capturingDefender middlegame pin veryLong,https://lichess.org/gZJe970a/black#32,Sicilian_Defense
102,82,2494,52,Dz2be,2k3r1/1pP2p2/p6p/Q2p4/5R2/3Pr2q/PPP3P1/5RK1 w - - 0 21,f4f2 h3h5 f1e1 e3h3 e1e8 g8e8,clearance crushing endgame long pin quietMove,https://lichess.org/Eg8RszVO#41,
98,78,936,45,MWgZX,2q1k1r1/1p3p2/p6p/8/1P1QP3/P2B3b/6P1/5R1K w - - 0 31,g2h3 c8h3,endgame mate mateIn1 oneMove,https://lichess.org/Fj1MF0ri#61,
74,93,1720,522,MWvM9,r4rk1/pbp2pbp/1pn3p1/3q4/3P4/P2BBN2/1P3PPP/R2QR1K1 b - - 0 13,c6d4 e3d4 g7d4 d3e4 d4f2 g1f2,advantage long middlegame,https://lichess.org/q6K3x5dg/black#26,English_Defense
119,67,1768,27,E0Cj0,r1b2rk1/2b2ppp/P3p3/2PpP3/7q/3B1R2/2P2PPP/R2Q2K1 b - - 0 22,c7e5 f3h3 h4h3 g2h3 e5a1 d1a1 c8a6 d3a6,advantage middlegame veryLong,https://lichess.org/TFYNQMot/black#44,
75,96,1743,10274,MgXIL,6k1/1PQ2p2/3n3p/1P3qp1/3P2K1/5N1P/6P1/8 w - - 4 42,g4g3 f5f4 g3f2 d6e4,crushing endgame short,https://lichess.org/frR1Frav#83,
75,83,1439,257,7iciS,3r1r1k/pp3p2/4p1np/4n2N/3q4/1B6/PPP3PP/4RQ1K b - - 9 23,d4g4 f1f6 h8g8 f6g7,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/fI16ASVB/black#46,
209,100,1517,10,FSzqo,5rk1/1pp3pp/1p1p3q/rb2nP2/4P3/P1P2N1P/1PB1Q1P1/4RRK1 w - - 5 23,e2d2 e5f3 f1f3 h6d2,crushing kingsideAttack middlegame short,https://lichess.org/59hnbF0n#45,
78,87,1643,72,JO7a4,5rnk/pppq3p/3p2B1/8/3P3Q/N1P5/PP6/4R1K1 w - - 1 27,e1e7 d7e7 h4e7 g8e7,advantage middlegame short,https://lichess.org/k0HtBMIr#53,
75,91,2011,437,Jfsnl,8/5pk1/4p1pp/4P3/4PP2/5BPP/1r1n4/4RK2 w - - 6 37,f1e2 d2e4 e2d3 e4g3,advantage discoveredAttack endgame short,https://lichess.org/v0A6cHiT#73,
76,82,2357,277,NXdTu,4r3/pp1rqppk/2p4p/P7/1P1P1R1b/2PQB2P/4R1P1/6K1 b - - 5 31,h7g8 f4h4 e7h4 e3g5 h4e1 e2e1 e8e1 g1f2,clearance crushing middlegame sacrifice veryLong,https://lichess.org/CEgAoi1E/black#62,
75,92,1516,1288,F7E3O,8/5p2/4pk2/1p6/3pKP2/2p5/PPP5/8 w - - 0 38,b2c3 d4c3 e4d4 f6f5,advantage endgame pawnEndgame short,https://lichess.org/U0nciRZa#75,
81,83,2420,90,MoyCJ,r4r1k/2p2Pb1/p2p1q2/1p1Q2Np/P3P2P/2N5/1nP3P1/2KR3R w - - 1 20,c1b2 f6c3 b2c1 c3e3 d1d2 e3a3 c1d1 a3a1 d1e2 a1h1,crushing middlegame skewer veryLong,https://lichess.org/K3KL1atF#39,
93,88,808,216,4ed8r,3r1bk1/3b3p/N4pp1/p1p1pn2/3n4/P1BP2P1/3NPPBP/1R4K1 w - - 2 24,e2e3 d4e2 g1f1 e2c3,crushing fork master middlegame short,https://lichess.org/kUIHY8kh#47,
94,85,2696,435,MgH7o,r4rk1/pp3ppp/nq1Pb3/7Q/3p1B2/6R1/P1P2PPP/R5K1 b - - 1 18,b6c5 g3g7 g8g7 f4e5 f7f6 h5g5 g7h8 e5f6 f8f6 g5f6 h8g8 f6e6,attraction crushing deflection fork middlegame pin sacrifice veryLong,https://lichess.org/YG4Y2NJ9/black#36,French_Defense
77,95,1580,13736,NXOGs,4K3/p7/1p3kP1/r7/P1P1B3/3P4/8/8 b - - 16 70,a5a4 e8f8 a4a5 g6g7,advancedPawn crushing endgame short,https://lichess.org/XAedynJk/black#140,
80,8,2256,62,Mu4Sg,1r3rk1/pb2bppp/4n3/2pq4/N2n4/1P1NQPP1/PB4BP/2RR2K1 w - - 1 23,d3c5 e7g5 e3f2 g5c1,advantage master middlegame short skewer,https://lichess.org/JQHlvJdn#45,
113,53,995,16,MgLJc,1r3bk1/R2nBp2/3p2p1/3Np1P1/4P2P/8/8/6K1 b - - 5 34,f8e7 d5e7 g8g7 a7d7,crushing endgame master short,https://lichess.org/Qutql9OB/black#68,
132,100,742,45,4eBfF,r3k2r/1bpp1ppp/p1q2n2/1p6/1bP2P2/2NBP3/PPQB2PP/R4RK1 w kq - 3 13,c4b5 c6g2,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/w3Gezxla#25,Englund_Gambit_Complex
75,87,1783,68,DzH0d,rnb1kbnr/3p1ppp/p3pq2/1p1P4/4P3/1P2BN2/PP3PPP/RN1QK2R b KQkq - 0 9,f6b2 e3d4 f8b4 e1f1 b2a1 d4a1,advantage defensiveMove long opening trappedPiece,https://lichess.org/DOTj95RM/black#18,French_Defense
75,92,1873,1251,FyTuC,2r2rk1/4bppp/pq1p4/Np1Ppb2/8/5B1P/PPPQ1PP1/2R2RK1 b - - 1 17,f5c2 a5c6 c8c6 d5c6,advantage middlegame short,https://lichess.org/H8xqjJWw/black#34,Sicilian_Defense
77,100,816,57,GIZAa,8/8/8/8/8/bkp2R2/p6P/K7 w - - 2 59,f3f2 a3b2 f2b2 c3b2,advancedPawn endgame mate mateIn2 short,https://lichess.org/wNe7xbVB#117,
83,96,652,400,7aTS5,r1b1r1k1/p1p2ppp/8/4P3/3R4/2N1P3/PP4PP/R5K1 b - - 4 17,e8e5 d4d8 e5e8 d8e8,backRankMate endgame mate mateIn2 short,https://lichess.org/IlcLS7Hs/black#34,Ruy_Lopez
77,83,1504,72,MYTO4,8/1N2k3/1N1b2p1/7p/8/2P1Pp1n/3K4/B7 w - - 2 36,c3c4 d6b4 a1c3 b4c3,crushing endgame short,https://lichess.org/E3eTtRuw#71,
